fmla,n,freq,cumulative_freq,AUC,Emax,
107,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.781,0.801,0.048
108,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.783,0.795,0.047
109,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.785,0.79,0.048
110,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ bis1_standardized,4,0.002,0.787,0.79,0.068
111,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ AUDIT_C_4_a+ bis1_standardized,4,0.002,0.789,0.787,0.062
112,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.791,0.798,0.079
113,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,4,0.002,0.793,0.804,0.054
114,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ bis1_standardized,4,0.002,0.795,0.784,0.082
115,firstyrbully2 ~ victim_3group+ q3_a+ q22_0_a+ bis1_standardized,3,0.0015,0.796,0.785,0.035
116,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,3,0.0015,0.798,0.797,0.099
117,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.8,0.796,0.034
118,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q68_a+ bis1_standardized,3,0.0015,0.801,0.794,0.102
119,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q22_0_a+ bis1_standardized,3,0.0015,0.802,0.786,0.051
120,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.804,0.799,0.049
121,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.806,0.803,0.039
122,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,3,0.0015,0.807,0.791,0.067
123,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.808,0.792,0.059
124,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.81,0.799,0.076
125,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.812,0.796,0.034
126,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.813,0.8,0.065
127,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ q68_a+ bis1_standardized,3,0.0015,0.814,0.796,0.103
128,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.816,0.794,0.063
129,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.818,0.8,0.1
130,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.819,0.801,0.055
131,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.82,0.803,0.022
132,firstyrbully2 ~ victim_3group+ q5_a,3,0.0015,0.822,0.741,0.115
133,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,3,0.0015,0.824,0.792,0.063
134,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,3,0.0015,0.825,0.794,0.049
135,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.826,0.796,0.052
136,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ q22_0_a+ bis1_standardized,3,0.0015,0.828,0.793,0.096
137,firstyrbully2 ~ victim_3group+ q6_a+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.83,0.783,0.042
138,firstyrbully2 ~ victim_3group+ q68_a+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.831,0.784,0.07
139,firstyrbully2 ~ victim_3group+ q7_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,3,0.0015,0.832,0.786,0.058
140,firstyrbully2 ~ victim_3group+ q7_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.834,0.789,0.036
141,firstyrbully2 ~ victim_3group+ q7_a+ bis1_standardized,3,0.0015,0.836,0.779,0.083
142,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ bis1_standardized,3,0.0015,0.837,0.782,0.168
143,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.838,0.794,0.038
144,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,3,0.0015,0.84,0.795,0.08
145,firstyrbully2 ~ victim_3group+ school_PR+ q68_a+ bis1_standardized,3,0.0015,0.842,0.783,0.071
146,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ bis1_standardized,3,0.0015,0.843,0.783,0.072
147,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,3,0.0015,0.844,0.799,0.051
148,firstyrbully2 ~ victim_3group+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.846,0.795,0.037
149,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.846,0.798,0.07
150,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q68_a+ q22_0_a+ bis1_standardized,2,0.001,0.848,0.795,0.089
151,firstyrbully2 ~ victim_3group+ q3_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.848,0.79,0.076
152,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ bis1_standardized,2,0.001,0.85,0.784,0.049
153,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ PHQ9_1yr_new+ q22_0_a+ bis1_standardized,2,0.001,0.85,0.788,0.071
154,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.852,0.798,0.099
155,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,2,0.001,0.852,0.799,0.111
156,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,2,0.001,0.854,0.798,0.061
157,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.854,0.797,0.037
158,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.856,0.799,0.029
159,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q6_a+ q5_a+ bis1_standardized,2,0.001,0.856,0.794,0.086
160,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,2,0.001,0.858,0.791,0.044
161,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.858,0.8,0.054
162,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.86,0.791,0.074
